id,lux,duty,ref,time_ms
0,44.70,0.0000,0.00,13075542
0,44.64,0.0000,0.00,13085428
0,27.00,0.0000,0.00,13095415
0,27.00,0.0000,0.00,13105410
0,27.00,0.0000,0.00,13115412
0,16.18,0.0000,0.00,13125409
0,16.18,0.0000,0.00,13135400
0,16.18,0.0000,0.00,13145402
0,16.18,0.0000,0.00,13155409
0,8.98,0.0000,0.00,13165409
0,8.98,0.0000,0.00,13175409
0,8.98,0.0000,0.00,13185410
0,8.98,0.0000,0.00,13195406
0,8.98,0.0000,0.00,13205393
0,8.98,0.0000,0.00,13215408
0,4.22,0.0000,0.00,13225398
0,4.22,0.0000,0.00,13235395
0,4.22,0.0000,0.00,13245406
0,4.22,0.0000,0.00,13255395
0,4.22,0.0000,0.00,13265400
0,4.22,0.0000,0.00,13275410
0,3.75,0.0000,0.00,13285395
0,3.34,0.0000,0.00,13295406
0,3.01,0.0000,0.00,13305414
0,2.75,0.0000,0.00,13315406
0,2.45,0.0000,0.00,13325400
0,2.23,0.0000,0.00,13335411
0,2.01,0.0000,0.00,13345403
0,1.80,0.0000,0.00,13355399
0,1.63,0.0000,0.00,13365395
0,1.47,0.0000,0.00,13375393
0,1.35,0.0000,0.00,13385391
0,1.22,0.0000,0.00,13395400
0,1.10,0.0000,0.00,13405393
0,1.02,0.0000,0.00,13415406
0,0.92,0.0000,0.00,13425407
0,0.82,0.0000,0.00,13435397
0,0.78,0.0000,0.00,13445395
0,0.70,0.0000,0.00,13455406
0,0.64,0.0000,0.00,13465399
0,0.60,0.0000,0.00,13475400
0,0.53,0.0000,0.00,13485407
0,0.49,0.0000,0.00,13495411
0,0.47,0.0000,0.00,13505396
0,0.43,0.0000,0.00,13515405
0,0.39,0.0000,0.00,13525410
0,0.35,0.0000,0.00,13535394
0,0.33,0.0000,0.00,13545402
0,0.30,0.0000,0.00,13555388
0,0.28,0.0000,0.00,13565401
0,0.26,0.0000,0.00,13575400
0,0.25,0.0000,0.00,13585402
0,0.23,0.0000,0.00,13595401
0,0.21,0.0000,0.00,13605407
0,0.21,0.0000,0.00,13615404
0,0.20,0.0000,0.00,13625406
0,0.18,0.0000,0.00,13635411
0,0.17,0.0000,0.00,13645412
0,0.16,0.0000,0.00,13655395
0,0.15,0.0000,0.00,13665399
0,0.15,0.0000,0.00,13675395
0,0.13,0.0000,0.00,13685394
0,0.12,0.0000,0.00,13695391
0,0.12,0.0000,0.00,13705402
0,0.11,0.0000,0.00,13715381
0,0.11,0.0000,0.00,13725393
0,0.10,0.0000,0.00,13735403
0,0.10,0.0000,0.00,13745401
0,0.09,0.0000,0.00,13755416
0,0.09,0.0000,0.00,13765406
0,0.09,0.0000,0.00,13775394
0,0.09,0.0000,0.00,13785406
0,0.08,0.0000,0.00,13795396
0,0.08,0.0000,0.00,13805403
0,0.07,0.0000,0.00,13815402
0,0.07,0.0000,0.00,13825402
0,0.07,0.0000,0.00,13835407
0,0.07,0.0000,0.00,13845402
0,0.07,0.0000,0.00,13855394
0,0.07,0.0000,0.00,13865408
0,0.07,0.0000,0.00,13875418
0,0.06,0.0000,0.00,13885409
0,0.06,0.0000,0.00,13895402
0,0.06,0.0000,0.00,13905406
0,0.06,0.0000,0.00,13915401
0,0.06,0.0000,0.00,13925378
0,0.06,0.0000,0.00,13935393
0,0.06,0.0000,0.00,13945398
0,0.05,0.0000,0.00,13955397
0,0.05,0.0000,0.00,13965404
0,0.05,0.0000,0.00,13975408
0,0.05,0.0000,0.00,13985393
0,0.05,0.0000,0.00,13995392
0,0.05,0.0000,0.00,14005397
0,0.05,0.0000,0.00,14015400
0,0.05,0.0000,0.00,14025409
0,0.05,0.0000,0.00,14035394
0,0.05,0.0000,0.00,14045403
0,0.04,0.0000,0.00,14055413
0,0.04,0.0000,0.00,14065404
0,0.04,0.0000,0.00,14075397
0,0.05,0.0000,0.00,14085406
0,0.04,0.0000,0.00,14095401
0,0.05,0.0000,0.00,14105399
0,0.05,0.0000,0.00,14115410
0,0.04,0.0000,0.00,14125411
0,0.04,0.0000,0.00,14135395
0,0.04,0.0000,0.00,14145408
0,0.04,0.0000,0.00,14155399
0,0.04,0.0000,0.00,14165403
0,0.04,0.0000,0.00,14175404
0,0.04,0.0000,0.00,14185409
0,0.03,0.0000,0.00,14195401
0,0.03,0.0000,0.00,14205413
0,0.03,0.0000,0.00,14215411
0,0.03,0.0000,0.00,14225401
0,0.03,0.0000,0.00,14235404
0,0.03,0.0000,0.00,14245402
0,0.03,0.0000,0.00,14255395
0,0.03,0.0000,0.00,14265411
0,0.03,0.0000,0.00,14275400
0,0.03,0.0000,0.00,14285413
0,0.03,0.0000,0.00,14295401
